"Pos";"Age";"Tm";"G";"GS";"MP";"X3P.";"X2P";"X2PA";"X2P.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS"
"SG";25;"OKC";31;2;19;32.3;0.5;1;50;0.4;0.4;92.3;0.2;1.4;1.5;0.6;0.5;0.2;0.5;1.7;5.3
"PF";28;"PHO";10;0;12.3;13.3;0.2;0.3;66.7;0.7;1;70;0.3;2.2;2.5;0.8;0.1;0.4;0.4;2.4;1.7
"PG";22;"ATL";34;1;12.6;33.8;0.4;1.1;36.1;0.2;0.3;77.8;0.3;1.4;1.8;1.9;0.4;0.1;0.8;1.3;3.2
"C";25;"OKC";80;80;33.4;0;6;10.1;59.6;1.8;3.7;50;4.9;4.6;9.5;1.6;1.5;1;1.7;2.6;13.9
"C";21;"MIA";82;28;23.3;20;3.4;5.7;58.8;2;2.8;73.5;2;5.3;7.3;2.2;0.9;0.8;1.5;2.5;8.9
"SG";25;"DEN";7;0;3.1;0;0.4;0.9;50;0.1;0.3;50;0.1;0.4;0.6;0.9;0.3;0;0.3;0.6;1
"C";33;"SAS";81;81;33.2;23.8;8.3;15.8;52.8;4.3;5.1;84.7;3.1;6.1;9.2;2.4;0.5;1.3;1.8;2.2;21.3
"SG";21;"CHI";10;1;12;25;1;2.7;37;0.8;1.2;66.7;1.1;1.5;2.6;1.3;0.1;0;0.8;0.7;3.7
"SG";23;"UTA";38;2;10.9;32.3;0.9;2.1;44.3;1.2;1.6;75;0.1;0.5;0.6;0.7;0.2;0.2;0.9;1.2;5.6
"SG";26;"NYK";19;1;21.9;47.2;2.5;5.5;45.7;2.2;2.8;77.8;0.4;2.3;2.7;4;0.8;0.2;1.4;2.4;9.9
"PF";28;"POR";81;81;28.3;34.3;2;3.9;51.4;1.9;2.1;86.7;1.4;6.1;7.5;1.3;0.8;0.4;0.9;1.8;9.4
"SF";25;"ATL";48;4;9.6;31.2;0.8;1.7;50;0.5;0.7;74.3;0.5;1.3;1.8;0.5;0.5;0.3;0.5;1;3.7
"SF";25;"MEM";43;40;29.8;26.5;3.3;5.6;58.3;0.9;1.5;57.8;1.1;4.7;5.8;3;1.3;0.9;1.3;2.6;8
"PF";30;"TOT";25;8;12.9;22.5;0.5;1.2;41.4;0.5;0.6;75;0.7;1.4;2.2;0.8;0.2;0;0.6;1;2.5
"PF";30;"PHO";15;8;18.5;20.6;0.8;1.7;46.2;0.7;0.9;78.6;0.9;2.1;3;1.1;0.2;0.1;0.8;1.5;3.7
"PF";30;"MIA";10;0;4.4;33.3;0;0.3;0;0.1;0.2;50;0.4;0.5;0.9;0.2;0.1;0;0.2;0.2;0.7
"C";20;"IND";3;0;2;NA;0;1;0;0;0;NA;0.3;0.7;1;0.3;0;0.3;0.3;0;0
"PF";24;"MIL";72;72;32.8;25.6;9.3;14.5;64.1;6.9;9.5;72.9;2.2;10.3;12.5;5.9;1.3;1.5;3.7;3.2;27.7
